,municipio,año,fecha,humedad,precipitacion,temp_min_C,temp_max_C,latitud,latitud,longitud,longitud
37492,CAMPO DE LA CRUZ,2021,2021-06-19,88.6946792602539,1.919999957084656,25.368676757812523,31.31673583984372,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37493,CANDELARIA,2021,2021-06-19,90.1434326171875,1.919999957084656,24.928491210937523,31.207910156250023,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
37494,GALAPA,2021,2021-06-19,92.075927734375,2.220000028610229,24.614068603515648,30.37825927734372,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
37495,JUAN DE ACOSTA,2021,2021-06-19,89.54766845703125,2.569999933242798,24.165185546875023,30.121606445312523,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
37496,LURUACO,2021,2021-06-19,90.05828348795573,2.99999992052714,24.289222547743123,30.283956570095484,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
37497,MALAMBO,2021,2021-06-19,90.4904073079427,2.7666666507720947,24.92993570963546,30.702956136067712,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
37498,MANATÍ,2021,2021-06-19,88.51371002197266,3.430000066757202,25.280358886718773,31.430078125000023,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
37499,PALMAR DE VARELA,2021,2021-06-19,89.06456756591797,3.859999895095825,25.031396484375023,30.94710693359372,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
37500,PIOJÓ,2021,2021-06-19,89.97003004286024,2.9283332559797497,24.24247413917834,30.218810583044046,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
37501,POLONUEVO,2021,2021-06-19,89.62467447916667,3.859999895095825,24.78445841471364,30.623701985677087,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
37502,PONEDERA,2021,2021-06-19,90.27581787109376,2.889999866485596,24.954187011718773,31.161248779296898,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37503,PUERTO COLOMBIA,2021,2021-06-19,90.32611083984376,2.220000028610229,25.3395935058594,30.172662353515648,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37504,REPELÓN,2021,2021-06-19,89.63167911105687,3.214999967151218,24.66634973596649,30.73114307544853,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37505,SABANAGRANDE,2021,2021-06-19,88.76775360107422,3.859999895095825,25.097589111328148,30.772393798828148,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37506,SABANALARGA,2021,2021-06-19,90.3230438232422,3.2149999141693115,24.429467773437523,30.479394531250023,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37507,SANTA LUCÍA,2021,2021-06-19,89.0590337117513,2.4233333269755044,25.315087890625023,31.292932128906276,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37508,SANTO TOMÁS,2021,2021-06-19,89.62467447916667,3.859999895095825,24.78445841471364,30.623701985677087,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37509,SOLEDAD,2021,2021-06-19,90.6275405883789,2.220000028610229,25.078149414062523,30.958215332031276,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37510,SUAN,2021,2021-06-19,89.96871185302734,1.919999957084656,25.29622802734372,31.131982421875023,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37511,TUBARÁ,2021,2021-06-19,91.56237030029295,0.6700000166893005,24.860620117187523,29.883599853515648,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37512,USIACURÍ,2021,2021-06-19,90.30413818359376,3.2149999141693115,24.27301432291671,30.25086873372396,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37514,BARANOA,2021,2021-06-20,88.90249633789062,6.380000114440918,24.983361816406276,30.190301513671898,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
37515,CAMPO DE LA CRUZ,2021,2021-06-20,87.17250061035156,3.9800000190734863,25.691308593750023,31.066308593750023,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37516,CANDELARIA,2021,2021-06-20,88.67073059082031,3.9800000190734863,25.23714599609372,30.968530273437523,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
37517,GALAPA,2021,2021-06-20,87.53368377685547,2.6600000858306885,25.427514648437523,30.809960937500023,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
37518,JUAN DE ACOSTA,2021,2021-06-20,88.53033447265625,1.870000004768372,25.110070800781276,30.057580566406276,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
37519,LURUACO,2021,2021-06-20,88.79173787434895,3.373333348168268,25.13390163845486,30.253059217665,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
37520,MALAMBO,2021,2021-06-20,87.0225321451823,3.900000095367432,25.704624430338583,31.00940348307296,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
37521,MANATÍ,2021,2021-06-20,89.10343170166016,2.369999885559082,25.759973144531276,30.583032226562523,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
37522,PALMAR DE VARELA,2021,2021-06-20,87.61414337158203,6.380000114440918,25.746362304687523,30.988214111328148,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
37523,PIOJÓ,2021,2021-06-20,88.71383327907985,3.12277779755769,25.113413040726243,30.182669858579345,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
37524,POLONUEVO,2021,2021-06-20,87.78256225585938,6.380000114440918,25.522068277994837,30.66385294596364,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
37525,PONEDERA,2021,2021-06-20,89.05313110351562,5.180000305175781,25.457208251953148,31.066278076171898,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37526,PUERTO COLOMBIA,2021,2021-06-20,85.19121551513672,2.6600000858306885,26.302880859375023,30.64779052734372,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37527,REPELÓN,2021,2021-06-20,88.97354041205512,3.28944441124245,25.363080738208907,30.43343957971649,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37528,SABANAGRANDE,2021,2021-06-20,86.83104705810547,6.380000114440918,25.836480712890648,30.813043212890648,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37529,SABANALARGA,2021,2021-06-20,89.02545166015625,4.125,25.195367431640648,30.464227294921898,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37530,SANTA LUCÍA,2021,2021-06-20,88.30221048990886,3.443333307902018,25.683506266276083,30.846693929036466,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37531,SANTO TOMÁS,2021,2021-06-20,87.78256225585938,6.380000114440918,25.522068277994837,30.66385294596364,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37532,SOLEDAD,2021,2021-06-20,86.70286560058594,2.6600000858306885,25.849877929687523,31.405206298828148,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37533,SUAN,2021,2021-06-20,88.63069915771484,3.9800000190734863,25.599237060546898,30.890740966796898,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37534,TUBARÁ,2021,2021-06-20,88.55374908447266,0.7900000214576721,25.719262695312523,30.325616455078148,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37535,USIACURÍ,2021,2021-06-20,88.81942749023438,4.12500003973643,25.096266682942712,30.23736979166671,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37537,BARANOA,2021,2021-06-21,91.47087097167967,17.610000610351562,24.2680603027344,29.086633300781276,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
37538,CAMPO DE LA CRUZ,2021,2021-06-21,87.75666809082031,8.619999885559082,25.194451904296898,30.085046386718773,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37539,CANDELARIA,2021,2021-06-21,89.23745727539062,8.619999885559082,24.763818359375023,30.032373046875023,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
37540,GALAPA,2021,2021-06-21,91.44831085205078,10.289999961853027,24.7939392089844,30.210900878906276,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
37541,JUAN DE ACOSTA,2021,2021-06-21,89.6313705444336,5.880000114440918,24.4860778808594,28.962121582031276,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
37542,LURUACO,2021,2021-06-21,90.24288092719183,9.790000491672092,24.509501817491294,29.10590684678812,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
37543,MALAMBO,2021,2021-06-21,90.24033864339192,12.730000178019203,25.05984903971364,30.2172790527344,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
37544,MANATÍ,2021,2021-06-21,88.47059631347656,8.25,25.442346191406276,30.179589843750023,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
37545,PALMAR DE VARELA,2021,2021-06-21,89.37216186523438,17.610000610351562,25.071710205078148,29.789575195312523,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
37546,PIOJÓ,2021,2021-06-21,90.1413766366464,9.138333709151658,24.481573712384204,29.05637229636858,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
37547,POLONUEVO,2021,2021-06-21,90.00325012207031,17.610000610351562,24.826023356119837,29.51038004557296,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
37548,PONEDERA,2021,2021-06-21,90.0655288696289,13.114999771118164,24.887597656250023,29.977136230468773,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37549,PUERTO COLOMBIA,2021,2021-06-21,89.58111572265625,10.289999961853027,25.556604003906276,30.015924072265648,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37550,REPELÓN,2021,2021-06-21,89.75362367983217,9.928333776968495,24.84837804723668,29.513335729528364,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37551,SABANAGRANDE,2021,2021-06-21,89.16671752929688,17.610000610351562,25.138299560546898,29.654931640625023,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37552,SABANALARGA,2021,2021-06-21,90.54739379882812,11.745000839233398,24.593286132812523,29.254510498046898,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37553,SANTA LUCÍA,2021,2021-06-21,88.45949045817058,8.49666659037272,25.25714518229171,30.068475341796898,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37554,SANTO TOMÁS,2021,2021-06-21,90.00325012207031,17.610000610351562,24.826023356119837,29.51038004557296,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37555,SOLEDAD,2021,2021-06-21,90.10598754882812,10.289999961853027,25.2473083496094,30.786004638671898,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37556,SUAN,2021,2021-06-21,89.15120697021484,8.619999885559082,25.134637451171898,29.940789794921898,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37557,TUBARÁ,2021,2021-06-21,91.35279083251952,4.349999904632568,24.849969482421898,28.914239501953148,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37558,USIACURÍ,2021,2021-06-21,90.5498784383138,11.74500052134196,24.449141438802087,29.101088460286466,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37560,BARANOA,2021,2021-06-22,93.21482849121094,11.510000228881836,24.155480957031276,29.808129882812523,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
