municipio,periodo_global,REM
MALAMBO,5,1.63787177598518
MALAMBO,6,2.46797681729187
MALAMBO,7,2.33366580044477
MALAMBO,8,1.40124097931881
MALAMBO,9,1.13784899105093
MALAMBO,10,0.572464961371166
MALAMBO,11,0.550334365095952
MALAMBO,12,0.65605359206132
MALAMBO,13,0.582206013949312
MALAMBO,14,0.724153121392693
MALAMBO,15,1.1420870124028
MALAMBO,16,1.40465273352874
MALAMBO,17,2.35319273794242
MALAMBO,18,1.11346028708134
MALAMBO,19,0.644331405436669
MALAMBO,20,0.561381682552839
MALAMBO,21,0.254934787950268
MALAMBO,22,0.327267403201882
MALAMBO,23,0.31390318772137
MALAMBO,24,0.712947874493927
MALAMBO,25,0.837509398496241
MALAMBO,26,0.783531624241326
MALAMBO,27,0.952792668477633
MALAMBO,28,1.22242295217921
MALAMBO,29,2.55941509652063
MALAMBO,30,3.24582691580727
MALAMBO,31,2.34700436742674
MALAMBO,32,1.33091188879898
MALAMBO,33,1.52980508033753
MALAMBO,34,0.624142873656225
MALAMBO,35,1.20339462032888
MALAMBO,36,3.19590667395256
MALAMBO,37,1.94239518139934
MALAMBO,38,2.03834455554271
MALAMBO,39,1.88206945956963
MALAMBO,40,2.17705944177445
MALAMBO,41,2.98028781062339
MALAMBO,42,3.95475014260791
MALAMBO,43,4.26018295963736
MALAMBO,44,3.40698970727378
MALAMBO,45,2.44079691885648
MALAMBO,46,3.36219199740258
MALAMBO,47,4.54098833076381
MALAMBO,48,3.43562334388697
MALAMBO,49,2.66978703094147
MALAMBO,50,2.05739872842443
MALAMBO,51,1.2168831712274
MALAMBO,52,0.911928816484431
MALAMBO,53,0.601096867753884
MALAMBO,54,0.491071040160886
MALAMBO,55,0.925143075162152
MALAMBO,56,0.861807082654088
MALAMBO,57,0.842514695170843
MALAMBO,58,0.43593285005723
MALAMBO,59,0.341127110203798
MALAMBO,60,0.311041604522909
MALAMBO,61,0.401158414223204
MALAMBO,62,0.615387520452979
MALAMBO,63,0.737341473725695
MALAMBO,64,0.544844398763813
MALAMBO,65,0.579869050594886
MALAMBO,66,0.516114691654171
MALAMBO,67,0.80383508809931
MALAMBO,68,1.81182014822241
MALAMBO,69,1.35706851819907
MALAMBO,70,0.554328815230221
MALAMBO,71,0.60454178442996
MALAMBO,72,0.577343126419844
MALAMBO,73,0.406996006714107
MALAMBO,74,0.864226952036354
MALAMBO,75,0.700792519860081
MALAMBO,76,0.507458756629875
MALAMBO,77,0.404333640027864
MALAMBO,78,0.534520216690045
MANATÍ,1,0.714894692857093
MANATÍ,11,0.59378474028292
MANATÍ,16,1.82075740518807
MANATÍ,18,4.12372602788275
MANATÍ,20,5.19772524170554
MANATÍ,21,4.13068646720258
MANATÍ,22,2.96950394601581
MANATÍ,23,1.5258439147803
MANATÍ,24,1.23219553702961
MANATÍ,25,1.6083072985758
MANATÍ,26,0.153884795064474
MANATÍ,31,1.90423772873235
MANATÍ,34,2.02558874560375
MANATÍ,35,1.11585375828131
MANATÍ,36,0.987806884791644
MANATÍ,37,0.969820800535924
MANATÍ,38,0.826903575615475
MANATÍ,46,0.805307041567768
MANATÍ,47,0.407868945460236
MANATÍ,48,0.182116151798191
MANATÍ,49,1.77733174108927
MANATÍ,50,1.63588453228653
MANATÍ,51,0.92090846974174
MANATÍ,52,0.589744215769115
MANATÍ,53,1.22131270939609
MANATÍ,54,1.14893746597785
MANATÍ,55,3.24677527337648
MANATÍ,56,3.16852233238754
MANATÍ,57,7.45358047704688
MANATÍ,58,7.01203972327605
MANATÍ,59,5.26759333057035
MANATÍ,60,4.46434646284312
MANATÍ,61,2.94980029724722
MANATÍ,62,1.5493449484259
MANATÍ,63,0.115709646850308
MANATÍ,64,0.206209339574406
MANATÍ,66,0.118080399825726
MANATÍ,67,0.205975978880974
MANATÍ,68,0.483607990245035
MANATÍ,70,0.710210477431095
MANATÍ,72,0.462310372235819
MANATÍ,73,0.521446513872685
MANATÍ,74,0.395448010633264
MANATÍ,77,0.431696223787288
PALMAR DE VARELA,5,0.907310926306363
PALMAR DE VARELA,11,0.203241136819391
PALMAR DE VARELA,12,0.306042641071368
PALMAR DE VARELA,13,0.286681987395095
PALMAR DE VARELA,14,0.802415812520647
PALMAR DE VARELA,15,0.632758908961129
PALMAR DE VARELA,18,0.70502700884945
PALMAR DE VARELA,20,1.77729395949344
PALMAR DE VARELA,21,1.97740766805828
PALMAR DE VARELA,24,0.210666549599965
PALMAR DE VARELA,25,0.274969790999384
PALMAR DE VARELA,27,0.288573090500642
PALMAR DE VARELA,28,1.81004380989342
PALMAR DE VARELA,29,0.40604254538786
PALMAR DE VARELA,31,1.30320505665011
PALMAR DE VARELA,49,0.173341867888456
PALMAR DE VARELA,50,0.148910183165403
PALMAR DE VARELA,51,0.171466013953104
PALMAR DE VARELA,52,0.0805242522846355
PALMAR DE VARELA,53,0.13844707838266
PALMAR DE VARELA,56,1.07754383378074
PALMAR DE VARELA,60,0.418820618681886
PALMAR DE VARELA,61,0.125395167989405
PALMAR DE VARELA,63,0.0787005445396667
PALMAR DE VARELA,64,0.350636004763407
PALMAR DE VARELA,65,0.115345373668771
PALMAR DE VARELA,66,0.319961597348838
PALMAR DE VARELA,67,0.418598704667634
PALMAR DE VARELA,68,0.327607260133427
PALMAR DE VARELA,69,2.35565367521078
PALMAR DE VARELA,70,2.40556518215678
PALMAR DE VARELA,71,0.655867342553561
PALMAR DE VARELA,72,0.313179760124933
PALMAR DE VARELA,73,0.52985992941122
PALMAR DE VARELA,74,0.535771293700654
PALMAR DE VARELA,75,1.01371967887037
PALMAR DE VARELA,76,0.734055962688504
PALMAR DE VARELA,77,0.292441026487676
PIOJÓ,5,3.97135579909071
PIOJÓ,6,20.5169677712211
PIOJÓ,29,3.5745968962525
PIOJÓ,30,18.1330849142687
PIOJÓ,40,2.01977319825006
PIOJÓ,41,2.63929015852405
PIOJÓ,42,2.65688443844384
PIOJÓ,49,1.52985163381203
PIOJÓ,50,0.657113280772522
PIOJÓ,51,0.252216006039379
PIOJÓ,55,1.63396226415094
PIOJÓ,57,4.09207230061836
PIOJÓ,58,2.54077762803234
PIOJÓ,59,0.66273825567963
PIOJÓ,62,0.519812422424113
PIOJÓ,65,0.512074387334635
PIOJÓ,72,2.79450163452648
PIOJÓ,73,2.36396892030804
PIOJÓ,74,7.17102737760693
PIOJÓ,75,21.4828636555536
PIOJÓ,77,3.91417500701389
PIOJÓ,78,5.17445363380511
POLONUEVO,1,0.778416429463298
POLONUEVO,2,0.566076737436761
POLONUEVO,5,1.44315667653766
POLONUEVO,6,6.21307527354704
POLONUEVO,7,10.0129588676983
POLONUEVO,8,3.48609107942698
POLONUEVO,9,6.30191946697061
POLONUEVO,10,7.70369518306915
POLONUEVO,11,19.7196313828884
POLONUEVO,12,14.3602268030417
POLONUEVO,13,4.10393296213162
POLONUEVO,14,2.56846672209793
POLONUEVO,15,1.0127044952369
POLONUEVO,16,0.996420148057614
POLONUEVO,17,2.78214512904103
POLONUEVO,18,5.64183301897313
POLONUEVO,19,5.71337650828557
POLONUEVO,20,3.98227978983026
POLONUEVO,21,15.8237964412568
POLONUEVO,22,15.7864760496977
POLONUEVO,23,2.22673870430114
POLONUEVO,24,1.68581555118837
POLONUEVO,25,0.220038895901609
POLONUEVO,26,0.842143548860758
POLONUEVO,27,0.928535470879802
POLONUEVO,28,0.264733605179486
POLONUEVO,29,0.653257213666136
POLONUEVO,31,2.096647540542
POLONUEVO,32,2.37788491325898
